label	text
1	nome_de_usuario:aaliyah, senha:123456, email:aaliyah@gmail.com, telefone:4905036436
1	nome_de_usuario:aaren, senha:12345, email:aaren@yahoo.com, telefone:8292544966
1	nome_de_usuario:aarika, senha:123456789, email:aarika@hotmail.com, telefone:9185734304
1	nome_de_usuario:aaron, senha:iloveyou, email:aaron@aol.com, telefone:5834106229
1	nome_de_usuario:aartjan, senha:princesa, email:aartjan@hotmail.co.uk, telefone nº:5337239459
1	nome_de_usuario:aarushi, senha:1234567, email:aarushi@hotmail.fr, telefone:9292731329
1	nome_de_usuario:abagael, senha:12345678, email:abagael@msn.com, telefone:3079524341
1	nome_de_usuario:abagail, senha:abc123, email:abagail@yahoo.fr, telefone:9762192739
1	nome_de_usuario:abahri, senha:nicole, email:abahri@wanadoo.fr, telefone:9695000713
1	nome_de_usuario:abbas, senha:daniel, email:abbas@orange.fr, telefone:4312565613
1	nome_de_usuario:abbe, senha:babygirl, email:abbe@comcast.net, telefone:5546129411
1	nome_de_usuario: abadia, senha: macaco, email: abbey@yahoo.co.uk, telefone: 9863661742
1	nome_de_usuario:abbi, senha:lovely, email:abbi@yahoo.com.br, telefone:4546694190
1	nome_de_usuario:abbie, senha:jessica, email:abbie@yahoo.co.in, telefone:9978109997
1	nome_de_usuario:abby, senha:654321, email:abby@live.com, telefone:8659443159
1	nome_de_usuario:abbye, senha:michael, email:abbye@rediffmail.com, telefone:618298619
1	nome_de_usuario:abdalla, senha:ashley, email:abdalla@free.fr, telefone:1128262222
1	nome_de_usuario:abdallah, senha:qwerty, email:abdallah@gmx.de, telefone:6172404007
1	nome_de_usuario:abdul, senha:111111, email:abdul@web.de, telefone:4330967550
1	nome_de_usuario:abdullah, senha:iloveu, email:abdullah@yandex.ru, telefone:8359962075
1	nome_de_usuario:abe, senha:michelle, email:abe@ymail.com, telefone:2810229303
1	nome_de_usuario:abel, senha:tigger, email:abel@libero.it, telefone:4711596308
1	nome_de_usuario:abi, senha:sunshine, email:abi@outlook.com, telefone:7420126271
1	nome_de_usuario:abia, senha:chocolate, email:abia@uol.com.br, telefone no:6729546556
1	nome_de_usuario:abigael, senha:senha1, email:abigael@bol.com.br, telefone:4058087060
1	nome_de_usuario:abigail, senha:futebol, email:abigail@mail.ru, telefone:3580114365
1	nome_de_usuario:abigale, senha:anthony, email:abigale@cox.net, telefone:1926558942
1	nome_de_usuario:abra, senha:amigos, email:abra@hotmail.it, telefone:2091966719
1	nome_de_usuario:abraham, senha:borboleta, email:abraham@sbcglobal.net, telefone:6551029779
1	nome_de_usuario:abram, senha:roxo, email:abram@sfr.fr, telefone:1101880594
1	nome_de_usuario:abree, senha:angel, email:abree@live.fr, telefone:2703526018
1	nome_de_usuario:abrianna, senha:jordan, email:abrianna@verizon.net, telefone:9187044908
1	nome_de_usuario:abriel, senha:liverpool, email:abriel@live.co.uk, telefone:3400211175
1	nome_de_usuario:abrielle, senha:justin, email:abrielle@googlemail.com, telefone:9667724040
1	nome_de_usuario:abu, senha:loveme, email:abu@yahoo.es, telefone:6219323570
1	nome_de_usuario:aby, senha:fuckyou, email:aby@ig.com.br, telefone:3019447874
1	nome_de_usuario:acacia, senha:123123, email:acacia@live.nl, telefone:4184473121
1	nome_de_usuario:acesso, senha:futebol, email:access@bigpond.com, telefone:5799387955
1	nome_de_usuario:contabilidade, senha:secreto, email:contabilidade@terra.com.br, telefone:8326312427
1	nome_de_usuario:ace, senha:andrea, email:ace@yahoo.it, telefone:6172880111
1	nome_de_usuario:achal, senha:carlos, email:achal@neuf.fr, telefone:7333798375
1	nome_de_usuario:achamma, senha:jennifer, email:achamma@yahoo.de, telefone:1112574791
1	nome_de_usuario:action, senha:joshua, email:action@alice.it, telefone:8576162927
